"company","latitude","longitude","biz_type","naics8_descriptions"
"LONG HUA'S GROCERY STORE",37.794254,-122.407764,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"NAN HAI CORP",37.795486,-122.406872,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"MONTGOMERY GALLERY",37.795463,-122.401887,"art","ART DEALERS"
"LE TRIANON GALLERY",37.796962,-122.401576,"art","ART DEALERS"
"CANESSA GALLERY",37.795816,-122.40317,"art","ART DEALERS"
"SOUNDS BAZAAR LLC",37.795736,-122.406371,"art","ART DEALERS"
"SARAH R NELSON ART ADVISORY",37.796393,-122.402584,"art","ART DEALERS"
"MONTGOMERY-FPS INC",37.795463,-122.401887,"art","ART DEALERS"
"JAPONESQUE GALLERY",37.796869,-122.403318,"art","ART DEALERS"
"CHINA TRADE CTR ART GALLERY",37.79483,-122.406097,"art","ART DEALERS"
"STYLERS ART GALLERY",37.795918,-122.406105,"art","ART DEALERS"
"SARAH STOCKING FINE ANTQ PSTRS",37.796806,-122.401544,"art","ART DEALERS"
"BAY CITY BARBER SALON",37.795221,-122.400716,"barber","BARBER SHOPS"
"BROGAN & SON",37.795221,-122.400716,"barber","BARBER SHOPS"
"BLADES CO",37.795624,-122.403699,"barber","BARBER SHOPS"
"NICK'S SUPER MARKET",37.774248,-122.423245,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"MARKET STREET GALLERY",37.77442,-122.420547,"art","ART DEALERS"
"SPARK ART INC",37.774301,-122.423592,"art","ART DEALERS"
"LA SAN FRANCISCO",37.752955,-122.41042,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"EL CHICO PRODUCE MARKET",37.752435,-122.411214,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"GALERIA STUDIO 24",37.752644,-122.409372,"art","ART DEALERS"
"STATE SPACE GALLERY",37.751161,-122.410693,"art","ART DEALERS"
"PRECITA EYES MURALISTS",37.752426,-122.41153,"art","ART DEALERS"
"STC DISTRIBUTING CO",37.742876,-122.396062,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"ENJOYINGTEA.COM",37.750947,-122.38814,"coffee","ALL OTHER SPECIALTY FOOD STORES"
"GUERRERO GALLERY",37.744822,-122.388653,"art","ART DEALERS"
"ART EXPLOSION",37.750947,-122.38814,"art","ART DEALERS"
"OCCULT GALLERY",37.746361,-122.401798,"art","ART DEALERS"
"TRADER JOE'S",37.72631,-122.476099,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"M & E FOODS INC",37.728476,-122.476839,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"GR MARKET & DELI",37.784669,-122.443459,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"BRYAN'S GROCERY",37.78634,-122.450843,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"SUNSTREAM COFFEE",37.782385,-122.449877,"coffee","ALL OTHER SPECIALTY FOOD STORES"
"CAL-MART SUPER MARKET INC",37.786095,-122.452771,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"LAUREL VILLAGE",37.786045,-122.453165,"coffee","ALL OTHER SPECIALTY FOOD STORES"
"TRADER JOE'S",37.783361,-122.447768,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"LIZANNE SUTER ART ADVISORY SVC",37.785415,-122.443872,"art","ART DEALERS"
"MANRESA GALLERY",37.784814,-122.455026,"art","ART DEALERS"
"BUCHANAN FOOD MART LLP",37.78981,-122.430973,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"MAYFLOWER MARKET",37.792352,-122.434353,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"ALES UNLIMITED LLC",37.792589,-122.432651,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"VILLAFRANCA STUDIO",37.792198,-122.434819,"art","ART DEALERS"
"REBUILD + ARTS LLC",37.792198,-122.434819,"art","ART DEALERS"
"THIS IS ART INC",37.792198,-122.434819,"art","ART DEALERS"
"SAMIRAMIS IMPORTS",37.749208,-122.418511,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"STOP N SHOP",37.7489,-122.418418,"grocery","CONVENIENCE STORES"
"DISCOUNT CITY",37.752577,-122.418833,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"ACE HI",37.7529,-122.4172,"grocery","CONVENIENCE STORES"
"SAVE WAY MARKET",37.748874,-122.417177,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"CASA GUADALUPE II",37.750453,-122.41794,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"GRAY AREA ART & TECH THEATER",37.754409,-122.418305,"art","ART DEALERS"
"RATIO 3",37.751736,-122.418026,"art","ART DEALERS"
"CALI BARBER SHOP-BEAUTY SALON",37.752141,-122.41714,"barber","BARBER SHOPS"
"MISSIONS BARBERSHOP",37.750707,-122.418879,"barber","BARBER SHOPS"
"PACIFIC FOOD MARKET",37.785554,-122.436357,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"HUSH COFFEE BAR",37.785756,-122.430118,"coffee","ALL OTHER SPECIALTY FOOD STORES"
"KISSAKO TEA",37.784764,-122.431457,"coffee","ALL OTHER SPECIALTY FOOD STORES"
"BELLA FOODS INC",37.785833,-122.433024,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"INTERNATIONAL ART GALLERY",37.784764,-122.431457,"art","ART DEALERS"
"ALAN BAMBERGER ART BOOKS",37.784371,-122.434604,"art","ART DEALERS"
"GLADSTONE MARKET",37.78328,-122.418863,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"MCALLISTER MARKET",37.780935,-122.414402,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"SOCIETY FOR ASIAN ART",37.780016,-122.41675,"art","ART DEALERS"
"Y S A BARBERSHOP",37.783866,-122.418691,"barber","BARBER SHOPS"
"EL AHORRO DE BARRAZA",37.741463,-122.422915,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"SAFEWAY",37.743218,-122.422203,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"CUNNINGHAM DESIGN INC",37.740125,-122.419713,"art","ART DEALERS"
"SECESSION ART & DESIGN",37.745033,-122.419954,"art","ART DEALERS"
"JENN ZIPP/SECESSION ART-DESIGN",37.742816,-122.421403,"art","ART DEALERS"
"ABNER'S BARBER SHOP",37.742912,-122.421426,"barber","BARBER SHOPS"
"SEVENTEENTH & NOE GROCETERIA",37.762734,-122.433267,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"WHOLE FOODS MARKET",37.768285,-122.427137,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"WILD CARD ROASTERS",37.763634,-122.433323,"coffee","ALL OTHER SPECIALTY FOOD STORES"
"SEVEN SAINTS SUPERFOODS",37.76469,-122.431953,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"BARBEROLOGY",37.763138,-122.430936,"barber","BARBER SHOPS"
